method,config,clip_number,private_test,n_tracks,n_player_tracks,longest_track_frac,n_fragments,auto_flag
bytetrack,defaults,33,true,20,19,0.997,5,ok
bytetrack,defaults,34,false,19,18,0.9966,4,ok
bytetrack,defaults,35,false,22,20,0.998,4,ok
bytetrack,defaults,36,true,27,24,0.9962,9,ok
bytetrack,defaults,37,false,38,37,0.9984,21,fragmented
bytetrack,defaults,38,false,31,29,0.997,15,ok
bytetrack,defaults,39,false,27,25,0.9971,12,ok
bytetrack,defaults,40,true,20,19,0.9956,2,ok
bytetrack,defaults,41,false,33,31,0.9974,17,fragmented
bytetrack,defaults,42,false,37,34,0.9975,21,fragmented
bytetrack,defaults,43,true,21,19,0.9926,4,ok
bytetrack,defaults,44,false,21,18,0.9969,6,ok
bytetrack,defaults,45,false,23,21,0.9965,4,ok
bytetrack,defaults,46,false,31,30,0.9971,13,ok
bytetrack,defaults,47,false,23,21,0.9959,5,ok
bytetrack,defaults,48,false,21,19,0.9965,2,ok
bytetrack,defaults,49,true,25,24,0.9975,9,ok
bytetrack,defaults,50,false,19,18,0.9962,5,ok
bytetrack,defaults,51,false,32,30,0.9976,14,ok
bytetrack,defaults,52,true,23,21,0.9967,5,ok
bytetrack,defaults,53,false,27,25,0.9959,9,ok
bytetrack,defaults,54,true,39,38,0.9978,17,ok
bytetrack,defaults,55,true,41,40,0.9969,18,ok
bytetrack,defaults,56,true,31,30,0.9971,13,ok
bytetrack,defaults,57,false,25,23,0.9976,5,ok
bytetrack,defaults,58,false,19,18,0.9957,4,ok
bytetrack,defaults,59,false,20,18,0.9964,5,ok
bytetrack,defaults,60,false,24,23,0.9943,6,ok
bytetrack,defaults,61,false,24,23,0.9973,9,ok
cbiou,baseline-matched,1,false,30,29,1.0,10,ok
cbiou,baseline-matched,2,false,28,27,1.0,3,ok
cbiou,baseline-matched,3,false,22,20,1.0,4,ok
cbiou,baseline-matched,4,false,27,27,1.0,10,ok
cbiou,baseline-matched,5,true,27,27,1.0,9,ok
cbiou,baseline-matched,6,true,26,25,1.0,5,ok
cbiou,baseline-matched,7,true,39,38,1.0,21,fragmented
cbiou,baseline-matched,8,false,44,44,1.0,19,ok
cbiou,baseline-matched,9,false,28,27,1.0,5,ok
cbiou,baseline-matched,10,false,24,22,1.0,4,ok
cbiou,baseline-matched,11,true,18,16,1.0,2,ok
cbiou,baseline-matched,12,false,24,24,1.0,6,ok
cbiou,baseline-matched,13,false,19,18,1.0,8,ok
cbiou,baseline-matched,14,false,29,27,1.0,14,ok
cbiou,baseline-matched,15,true,36,36,1.0,16,ok
cbiou,baseline-matched,16,true,39,38,1.0,19,ok
cbiou,baseline-matched,17,false,29,28,1.0,7,ok
cbiou,baseline-matched,18,false,21,19,1.0,1,ok
cbiou,baseline-matched,19,false,28,26,1.0,7,ok
cbiou,baseline-matched,20,false,23,21,1.0,6,ok
cbiou,baseline-matched,21,true,23,22,1.0,9,ok
cbiou,baseline-matched,22,true,29,28,1.0,8,ok
cbiou,baseline-matched,23,false,32,30,1.0,19,fragmented
cbiou,baseline-matched,24,false,20,19,1.0,4,ok
cbiou,baseline-matched,25,false,28,26,1.0,7,ok
cbiou,baseline-matched,26,false,18,16,1.0,6,ok
cbiou,baseline-matched,27,false,27,25,1.0,5,ok
cbiou,baseline-matched,28,true,23,21,1.0,3,ok
cbiou,baseline-matched,29,false,29,28,1.0,12,ok
cbiou,baseline-matched,30,false,22,20,1.0,7,ok
cbiou,baseline-matched,31,false,28,27,1.0,9,ok
cbiou,baseline-matched,32,false,23,22,1.0,6,ok
cbiou,baseline-matched,33,true,16,14,1.0,1,ok
cbiou,baseline-matched,34,false,16,15,1.0,1,ok
cbiou,baseline-matched,35,false,20,18,1.0,2,ok
cbiou,baseline-matched,36,true,22,20,1.0,4,ok
cbiou,baseline-matched,37,false,29,28,1.0,12,ok
cbiou,baseline-matched,38,false,20,19,1.0,3,ok
cbiou,baseline-matched,39,false,21,19,1.0,6,ok
cbiou,baseline-matched,40,true,19,18,1.0,1,ok
cbiou,baseline-matched,41,false,32,30,1.0,16,ok
cbiou,baseline-matched,42,false,33,32,1.0,17,fragmented
cbiou,baseline-matched,43,true,20,18,1.0,4,ok
cbiou,baseline-matched,44,false,21,18,1.0,7,ok
cbiou,baseline-matched,45,false,20,18,1.0,1,ok
cbiou,baseline-matched,46,false,28,27,1.0,10,ok
cbiou,baseline-matched,47,false,21,19,1.0,3,ok
cbiou,baseline-matched,48,false,20,18,1.0,1,ok
cbiou,baseline-matched,49,true,20,19,1.0,3,ok
cbiou,baseline-matched,50,false,15,14,1.0,0,ok
cbiou,baseline-matched,51,false,29,27,1.0,12,ok
cbiou,baseline-matched,52,true,24,22,1.0,7,ok
cbiou,baseline-matched,53,false,26,24,1.0,7,ok
cbiou,baseline-matched,54,true,35,34,1.0,15,ok
cbiou,baseline-matched,55,true,36,35,1.0,14,ok
cbiou,baseline-matched,56,true,29,28,1.0,10,ok
cbiou,baseline-matched,57,false,24,23,1.0,5,ok
cbiou,baseline-matched,58,false,19,18,1.0,4,ok
cbiou,baseline-matched,59,false,19,17,1.0,4,ok
cbiou,baseline-matched,60,false,23,22,1.0,5,ok
cbiou,baseline-matched,61,false,21,20,1.0,6,ok
cbiou,defaults,1,false,34,33,1.0,14,ok
cbiou,defaults,2,false,30,29,1.0,5,ok
cbiou,defaults,3,false,23,21,1.0,5,ok
cbiou,defaults,4,false,27,27,1.0,10,ok
cbiou,defaults,5,true,30,30,1.0,11,ok
cbiou,defaults,6,true,29,28,1.0,9,ok
cbiou,defaults,7,true,45,44,1.0,27,fragmented
cbiou,defaults,8,false,52,51,1.0,27,fragmented
cbiou,defaults,9,false,31,30,1.0,8,ok
cbiou,defaults,10,false,24,22,1.0,4,ok
cbiou,defaults,11,true,18,16,1.0,2,ok
cbiou,defaults,12,false,28,28,1.0,8,ok
cbiou,defaults,13,false,22,21,1.0,11,ok
cbiou,defaults,14,false,33,31,1.0,18,fragmented
cbiou,defaults,15,true,39,39,1.0,19,ok
cbiou,defaults,16,true,41,40,1.0,21,fragmented
cbiou,defaults,17,false,36,35,1.0,17,ok
cbiou,defaults,18,false,23,21,1.0,3,ok
cbiou,defaults,19,false,29,27,1.0,8,ok
cbiou,defaults,20,false,26,24,1.0,10,ok
cbiou,defaults,21,true,25,24,1.0,11,ok
cbiou,defaults,22,true,30,28,1.0,8,ok
cbiou,defaults,23,false,38,36,1.0,26,fragmented
cbiou,defaults,24,false,22,21,1.0,6,ok
cbiou,defaults,25,false,28,26,1.0,7,ok
cbiou,defaults,26,false,19,17,1.0,7,ok
cbiou,defaults,27,false,27,25,1.0,5,ok
cbiou,defaults,28,true,25,23,1.0,6,ok
cbiou,defaults,29,false,35,34,1.0,18,fragmented
cbiou,defaults,30,false,26,23,1.0,12,ok
cbiou,defaults,31,false,35,33,1.0,16,ok
cbiou,defaults,32,false,23,22,1.0,6,ok
cbiou,defaults,33,true,17,16,1.0,2,ok
cbiou,defaults,34,false,17,16,1.0,2,ok
cbiou,defaults,35,false,25,23,1.0,7,ok
cbiou,defaults,36,true,25,23,1.0,7,ok
cbiou,defaults,37,false,39,37,1.0,23,fragmented
cbiou,defaults,38,false,25,24,1.0,9,ok
cbiou,defaults,39,false,23,21,1.0,8,ok
cbiou,defaults,40,true,20,19,1.0,2,ok
cbiou,defaults,41,false,36,34,1.0,20,fragmented
cbiou,defaults,42,false,36,34,1.0,20,fragmented
cbiou,defaults,43,true,21,19,1.0,5,ok
cbiou,defaults,44,false,23,19,1.0,9,ok
cbiou,defaults,45,false,24,22,1.0,6,ok
cbiou,defaults,46,false,31,29,1.0,13,ok
cbiou,defaults,47,false,22,20,1.0,4,ok
cbiou,defaults,48,false,21,19,1.0,2,ok
cbiou,defaults,49,true,23,22,1.0,7,ok
cbiou,defaults,50,false,18,17,1.0,4,ok
cbiou,defaults,51,false,36,33,1.0,19,fragmented
cbiou,defaults,52,true,25,23,1.0,9,ok
cbiou,defaults,53,false,27,25,1.0,9,ok
cbiou,defaults,54,true,45,42,1.0,25,fragmented
cbiou,defaults,55,true,44,43,1.0,24,fragmented
cbiou,defaults,56,true,36,34,1.0,17,ok
cbiou,defaults,57,false,30,29,1.0,12,ok
cbiou,defaults,58,false,20,19,1.0,5,ok
cbiou,defaults,59,false,20,18,1.0,5,ok
cbiou,defaults,60,false,24,23,1.0,6,ok
cbiou,defaults,61,false,26,25,1.0,11,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,1,false,23,22,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,2,false,26,25,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,3,false,19,17,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,4,false,24,24,1.0,7,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,5,true,20,20,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,6,true,24,23,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,7,true,22,21,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,8,false,30,30,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,9,false,22,21,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,10,false,22,20,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,11,true,17,15,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,12,false,23,23,1.0,6,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,13,false,14,13,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,14,false,18,17,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,15,true,22,22,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,16,true,26,25,1.0,5,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,17,false,23,22,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,18,false,21,19,1.0,1,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,19,false,22,20,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,20,false,18,16,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,21,true,20,19,1.0,7,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,22,true,23,21,1.0,4,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,23,false,20,18,1.0,8,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,24,false,16,15,1.0,0,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,25,false,22,20,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,26,false,15,13,1.0,3,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,27,false,24,22,1.0,2,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,28,true,19,17,1.0,0,ok
gta,gta-link@e4d5cc40+osnet_x1_0-generic,29,false,21,20,1.0,3,ok
