team_id,team_name,player_id,player_name,player_jersey,position,club
26,Spain,366,Victoria Sánchez,2,C/DB,Alicante Sharks
26,Spain,367,Violeta Wiksten,3,C,Alicante Sharks
26,Spain,368,Mar Hernández,4,WR,Las Rozas Black Demons
26,Spain,369,Estefanía Sastre,5,DB,Gijón Mariners
26,Spain,370,Laia Girona,6,DB,Barberá Rookies
26,Spain,371,Elvira Núñez,7,B/WR,Las Rozas Black Demons
26,Spain,372,Ana Leal,8,DB,Alicante Sharks
26,Spain,373,Olga Sotillo,9,WR,Las Rozas Black Demons
26,Spain,374,Mónica Rafecas,10,QB,Barberá Rookies
26,Spain,375,Emma García,11,WR,Oviedo Phoenix
26,Spain,376,Cristina Gómez,13,DB,Las Rozas Black Demons
27,New Zealand,521,Jorja Mouat,9,DB / PR,Tauranga City Tridents
27,New Zealand,522,Amorangi Ngata-Atkins,11,C / WR,Metro Lions
27,New Zealand,523,Sia Matai,4,DB / QB,Papatoetoe Wildcats
27,New Zealand,524,Taylor Leauanae,3,QB,Metro Lions
27,New Zealand,525,Ellie McManaway,13,WR,Tauranga City Tridents
27,New Zealand,526,Isabeau Short-Wilcox,8,WR,Metro Lions
27,New Zealand,527,Shona-Leigh Matiu,1,DB,Metro Lions
27,New Zealand,528,Shanaye Tissingh,10,WR,Hamilton Hawks
27,New Zealand,529,Emma Johnson,24,PR / DB,Tauranga City Tridents
27,New Zealand,530,Shirley Lam Sam,28,DB,Hutt Valley Spartans
27,New Zealand,531,Rosa Maanaima Matautia,6,DB,Metro Lions
27,New Zealand,532,Sarah Monteith,15,WR / C,Tauranga City Tridents
28,Switzerland,533,Kristina Birchmeier,88,WR,Zürich Renegades
28,Switzerland,534,Xenia Burkard,24,DB,ASVZ Nightbirds
28,Switzerland,535,Gioja Camenzind,15,WR,"Winterthur Warriors Ladies, St. Gallen Wolfpack"
28,Switzerland,536,Noemi Dopple,57,DB,Winterthur Warriors Ladies 
28,Switzerland,537,Valentina Frei,37,DB,ASVZ Nightbirds
28,Switzerland,538,Leandra Häfeli,2,DB,Winterthur Warriors Ladies
28,Switzerland,539,Enja Hüberli,22,WR,Winterthur Warriors Ladies
28,Switzerland,540,Anna Laura John,8,QB,Zürich Renegades
28,Switzerland,541,Kozué Nussbaum,44,WR,Geneva Seahawks 
