down,distance_bin,field_half,hc_published_sp,hc_published_n,hc_published_ep,hc_recomputed_n,hc_recomputed_sp,hc_recomputed_thin,ours_n,ours_sp,ours_thin,model_ep,model_n,missing_in,abs_diff_hc_vs_model,abs_diff_hc_published_vs_hc_recomputed
2,5,opponent,0.8611111111,36,5.166666667,18,0.8888888888888888,true,67,0.8507462686567164,false,4.0909744183642465,85,,1.0756922486357539,0.02777777778888879
2,6,opponent,0.914893617,47,5.489361702,29,0.9310344827586207,true,68,0.8676470588235294,false,4.195929824961543,96,,1.293431877038457,0.016140865758620615
2,7,opponent,1.021276596,47,6.127659574,23,0.7391304347826086,true,56,0.875,false,3.9773207576378273,78,,2.1503388163621726,0.28214616121739144
2,8,opponent,0.8,50,4.8,29,0.8620689655172413,true,66,0.803030303030303,false,3.910799857985081,95,,0.8892001420149187,0.06206896551724128
2,9,opponent,0.78,50,4.68,23,0.7391304347826086,true,92,0.7282608695652174,false,3.5715132024416927,114,,1.108486797558307,0.04086956521739138
2,10,opponent,0.8035714286,56,4.821428571,33,0.8484848484848485,false,97,0.8247422680412371,false,3.5691074264874727,129,,1.2523211445125275,0.04491341988484854
2,11,opponent,0.7058823529,51,4.235294118,24,0.6666666666666666,true,80,0.7125,false,3.163025745857215,102,,1.0722683721427848,0.03921568623333338
2,12,opponent,0.7058823529,51,4.235294118,41,0.6829268292682927,false,69,0.7246376811594203,false,3.15187871015673,110,,1.0834154078432698,0.022955523631707275
2,13,opponent,0.6779661017,59,4.06779661,33,0.6666666666666666,false,84,0.7023809523809523,false,2.93516191782767,116,,1.13263469217233,0.011299435033333416
2,14,opponent,0.7538461538,65,4.523076923,27,0.8518518518518519,true,89,0.6404494382022472,false,2.9076263784322536,116,,1.615450544567746,0.09800569805185189
2,15+,opponent,0.4964539007150709,564,2.978723404258865,283,0.5618374558303887,false,755,0.5854304635761589,false,2.061553118945044,1029,,0.917170285313821,0.06538355511531779
3,1,opponent,0.8837209301999999,43,5.302325581,25,0.92,true,57,0.8771929824561403,false,4.495855357115628,81,,0.8064702238843715,0.036279069800000174
3,2,opponent,0.9729729729999999,37,5.837837838,16,1.0,true,54,0.8888888888888888,false,4.420333827366395,68,,1.4175040106336043,0.027027027000000148
3,3,opponent,0.8363636364,55,5.018181818000001,47,0.8723404255319149,false,58,0.8793103448275862,false,4.329768813147381,103,,0.6884130048526202,0.03597678913191493
3,4,opponent,0.7959183673,49,4.775510204,22,0.8181818181818182,true,72,0.8333333333333334,false,4.094354340734773,94,,0.6811558632652268,0.022263450881818247
3,5,opponent,0.8064516129,31,4.838709677,19,0.8421052631578947,true,62,0.7419354838709677,false,3.456265712864007,81,,1.3824439641359927,0.03565365025789469
3,6,opponent,0.8035714286,56,4.821428571,66,0.8939393939393939,false,65,0.7230769230769231,false,3.584916125904797,131,,1.2365124450952032,0.09036796533939395
3,7,opponent,0.9215686275,51,5.529411765,26,0.7307692307692307,true,59,0.7966101694915254,false,3.349224010942548,84,,2.1801877540574517,0.1907993967307693
3,8,opponent,0.8,50,4.8,19,0.8421052631578947,true,76,0.6842105263157895,false,3.1761993197724223,95,,1.6238006802275775,0.042105263157894646
3,9,opponent,0.5918367347,49,3.551020408,23,0.5217391304347826,true,87,0.5977011494252874,false,2.6380172099981625,110,,0.9130031980018374,0.07009760426521738
3,10,opponent,0.6346153846,52,3.807692308,28,0.75,true,60,0.6666666666666666,false,2.6419283238389455,87,,1.1657639841610545,0.1153846154
3,11,opponent,0.5178571429,56,3.107142857,27,0.48148148148148145,true,55,0.5636363636363636,false,2.219542433585351,81,,0.8876004234146491,0.0363756614185185
3,12,opponent,0.4285714286,42,2.571428571,20,0.55,true,40,0.7,false,2.2367688118480147,60,,0.33465975915198554,0.12142857140000002
3,13,opponent,0.4390243902,41,2.634146341,23,0.5217391304347826,true,61,0.6065573770491803,false,2.0321069827965315,83,,0.6020393582034687,0.08271474023478259
3,14,opponent,0.4,40,2.4,19,0.42105263157894735,true,59,0.6271186440677966,false,1.9610414774414446,76,,0.4389585225585553,0.021052631578947323
3,15+,opponent,0.30384615383846153,260,1.8230769229819233,126,0.4365079365079365,false,367,0.46866485013623976,false,1.3122646272415295,490,,0.5108122957403938,0.13266178266947498
4,1,opponent,0.8333333333,30,5.0,13,0.8461538461538461,true,56,0.8571428571428571,false,3.840320868212182,68,,1.1596791317878181,0.012820512853846111
4,2,opponent,0.7333333333,30,4.4,13,0.7692307692307693,true,59,0.7966101694915254,false,3.7666405841941013,70,,0.633359415805899,0.03589743593076933
4,3,opponent,0.6571428571,35,3.942857143,23,0.782608695652174,true,40,0.65,false,3.4459714853197396,63,,0.4968856576802603,0.12546583855217397
4,4,opponent,0.5,46,3.0,16,0.625,true,53,0.7169811320754716,false,2.738545553118456,68,,0.26145444688154384,0.125
4,5,opponent,0.4642857143,28,2.785714286,14,0.35714285714285715,true,51,0.49019607843137253,false,1.67957172454693,65,,1.1061425614530702,0.10714285715714283
4,6,opponent,0.5208333333,48,3.125,30,0.6,false,43,0.6744186046511628,false,1.7413707053799752,72,,1.3836292946200248,0.07916666669999994
4,7,opponent,0.6206896552,29,3.724137931,18,0.3333333333333333,true,33,0.45454545454545453,false,1.0229566961243821,51,,2.7011812348756177,0.28735632186666665
4,8,opponent,0.3703703704,27,2.222222222,20,0.5,true,50,0.44,false,1.0249952959961124,70,,1.1972269260038877,0.12962962960000002
4,9,opponent,0.24,25,1.44,7,0.0,true,41,0.3902439024390244,false,0.5750872814872613,48,,0.8649127185127387,0.24
4,10,opponent,0.25,32,1.5,19,0.5789473684210527,true,33,0.42424242424242425,false,0.49425264710432615,51,,1.005747352895674,0.32894736842105265
4,11,opponent,0.3043478261,23,1.8260869569999998,13,0.23076923076923078,true,29,0.3103448275862069,true,0.24518052989705688,42,,1.580906427102943,0.07357859533076921
4,12,opponent,0.32,25,1.92,9,0.4444444444444444,true,24,0.4583333333333333,true,0.22521042261470223,33,,1.6947895773852977,0.12444444444444441
4,13,opponent,0.125,24,0.75,12,0.3333333333333333,true,25,0.24,true,0.14351328292458848,37,,0.6064867170754116,0.20833333333333331
4,14,opponent,0.125,24,0.75,12,0.5,true,27,0.48148148148148145,true,0.19256179078888053,39,,0.5574382092111194,0.375
4,15+,opponent,0.10399999999584,125,0.6239999999400001,66,0.3181818181818182,false,195,0.29743589743589743,false,-0.3259231867999661,258,,0.9499231867399662,0.21418181818597817
1,1,own,0.6666666667,21,4.0,13,0.6923076923076923,true,30,0.8,false,3.5687303989963217,43,,0.4312696010036783,0.025641025607692325
1,2,own,0.75,8,4.5,4,0.5,true,19,0.5789473684210527,true,3.366470662623887,23,,1.133529337376113,0.25
1,3,own,0.8333333333,12,5.0,7,0.7142857142857143,true,26,0.6923076923076923,true,3.25477794166231,33,,1.7452220583376898,0.11904761901428573
1,4,own,0.8,15,4.8,7,0.7142857142857143,true,21,0.8571428571428571,true,3.2606299038441784,27,,1.5393700961558214,0.08571428571428574
1,5,own,0.3846153846,13,2.307692308,2,0.5,true,13,0.6153846153846154,true,3.0874886721372605,15,,0.7797963641372605,0.1153846154
1,6,own,0.5,10,3.0,4,0.5,true,16,0.75,true,3.0330182208446788,20,,0.03301822084467876,0.0
1,7,own,0.6,5,3.6,1,1.0,true,7,0.42857142857142855,true,3.0341103125247173,8,,0.5658896874752828,0.4
1,8,own,0.8181818182,11,4.909090909,6,0.8333333333333334,true,10,0.6,true,3.1570417212642496,16,,1.75204918773575,0.015151515133333349
1,9,own,0.8,10,4.8,6,0.6666666666666666,true,9,0.5555555555555556,true,2.9275903404224666,15,,1.8724096595775332,0.13333333333333341
1,10,own,0.5952380952,42,3.5714285710000007,20,0.6,true,78,0.6538461538461539,false,2.908239545780816,96,,0.6631890252191845,0.004761904799999939
1,11,own,0.6666666667,3,4.0,1,1.0,true,7,0.2857142857142857,true,2.639052124664886,8,,1.360947875335114,0.33333333330000003
1,12,own,0.25,4,1.5,4,0.25,true,9,0.5555555555555556,true,2.57669605826959,13,,1.0766960582695901,0.0
1,13,own,0.5,8,3.0,4,0.75,true,15,0.6,true,2.6004642261633357,19,,0.3995357738366643,0.25
1,14,own,0.3333333333,3,2.0,1,1.0,true,13,0.7692307692307693,true,2.599101901699144,13,,0.5991019016991439,0.6666666667000001
1,15+,own,0.5211864406710924,4414,3.1271186436341805,1254,0.5167464114832536,false,3341,0.5366656689613888,false,1.7369607726763236,4542,,1.3901578709578568,0.004440029187838812
2,1,own,0.7435897436,39,4.461538462,15,0.6666666666666666,true,73,0.8082191780821918,false,3.506497381199469,88,,0.9550410808005312,0.07692307693333333
2,2,own,0.68,25,4.08,15,0.6666666666666666,true,44,0.6363636363636364,false,3.2204821612172903,59,,0.8595178387827098,0.01333333333333342
2,3,own,0.7272727273,22,4.363636364,14,0.7142857142857143,true,38,0.6842105263157895,false,3.118025903446743,52,,1.2456104605532574,0.012987013014285731
2,4,own,0.7567567568,37,4.540540541,21,0.7142857142857143,true,59,0.6949152542372882,false,3.140136961733828,79,,1.4004035792661722,0.042471042514285684
2,5,own,0.6,25,3.6,15,0.8,true,61,0.7213114754098361,false,3.1574881352257522,76,,0.44251186477424787,0.20000000000000007
2,6,own,0.6666666667,42,4.0,22,0.8181818181818182,true,66,0.6666666666666666,false,3.117973410897486,88,,0.8820265891025141,0.15151515148181827
2,7,own,0.5897435897,39,3.538461538,22,0.6818181818181818,true,69,0.6231884057971014,false,3.1116579030950864,90,,0.4268036349049136,0.09207459211818181
2,8,own,0.7246376812,69,4.347826087,40,0.9,false,94,0.7978723404255319,false,3.298034931932673,134,,1.0497911550673265,0.17536231879999997
2,9,own,0.7083333333,72,4.25,49,0.6122448979591837,false,118,0.6101694915254238,false,2.729528294591802,167,,1.5204717054081982,0.09608843534081635
2,10,own,0.6015037594,133,3.609022556,70,0.6857142857142857,false,218,0.6651376146788991,false,2.714215057394338,288,,0.8948074986056622,0.08421052631428572
