index,season,competition_id,competition_name,competition_league,gender,game_id,game_type,game_group_id,game_group,half,summary,action_title,down,down_desc,down_after,down_after_desc,yards_to_go,yards_to_go_after,possession_time,home_team,away_team,home_score,away_score,stream_url,passer,receiver,rusher,tackle_player,interception_player,sack_player,play_result,penalty,safety,drive_id,play_id,half_end,play_type,complete_pass,interception,touchdown,point_after,point_after_success,def_touchdown,one_point_conv_success,two_point_conv_success,defensive_two_point_conv,scoring_play,posteam,defteam,posteam_after,defteam_after,yardline_50,yardline_50_after,yards_gained,yards_to_go_simple,first_down,scoring_play_team,home_team_points,away_team_points,home_team_score,away_team_score,posteam_score,defteam_score,score_differential
12604,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short right pass incomplete to #11 Woo Jung Kwon, #4 Sia Matai",Pass incomplete,1,1st,2,2nd,20,20,2:21,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,10,50,0,pass,0,0,0,0,0,0,0,0,0,0,15,27,15,27,5,5,0,4,0,,,,0,7,0,7,-7
12605,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short left pass complete to #22 Sung Eun Jeong for 7 yards to the KOR12, #22 Sung Eun Jeong run for 4 yards<em> to</em><em> KOR16</em><em> for a gain of</em><em> 11</em><em> yards</em>, tackled by #28 Shirley Lam Sam",11 yard pass,2,2nd,3,3rd,20,9,2:21,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,22,,28,,,complete,0,0,10,51,0,pass,1,0,0,0,0,0,0,0,0,0,15,27,15,27,5,16,11,4,0,,,,0,7,0,7,-7
12606,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#43 Hyojin Pak Short left pass incomplete to #8 Jiho Kim,Pass incomplete,3,3rd,4,4th,9,9,2:21,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,10,52,0,pass,0,0,0,0,0,0,0,0,0,0,15,27,15,27,16,16,0,2,0,,,,0,7,0,7,-7
12607,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#43 Hyojin Pak Short middle pass incomplete to #8 Jiho Kim for 0 yards to the NZL18. Time left 15:29,Pass incomplete,4,4th,1,1st,9,20,2:21,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,10,53,0,pass,0,0,0,0,0,0,0,0,0,0,15,27,27,15,16,16,0,2,0,,,,0,7,0,7,-7
12608,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short right pass complete to #9 Jorja Mouat for 6 yards to the NZL11, #9 Jorja Mouat run for 9 yards<em> to</em><em> NZL20</em><em> for a gain of</em><em> 15</em><em> yards</em>, tackled by #14 Minjung Yoon",15 yard pass,1,1st,2,2nd,20,5,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,9,,14,,,complete,0,0,11,54,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,5,20,15,4,0,,,,0,7,7,0,7
12609,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short middle pass complete to #13 Ellie McManaway for 7 yards to the KOR23, #13 Ellie McManaway run for 1 yards<em> to</em><em> KOR22</em><em> for a gain of</em><em> 8</em><em> yards</em>, tackled by #10 Minju Kim<strong>. 1st down New Zealand</strong>",8 yard pass,2,2nd,1,1st,5,22,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,13,,10,,,complete,0,0,11,55,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,20,28,8,1,1,,,,0,7,7,0,7
12610,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#3 Taylor Leauanae Short middle pass incomplete to #9 Jorja Mouat for 0 yards to the KOR14,Pass incomplete,1,1st,2,2nd,22,22,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,11,56,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,28,28,0,5,0,,,,0,7,7,0,7
12611,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short middle pass complete to #13 Ellie McManaway for 6 yards to the KOR16, #13 Ellie McManaway run for 4 yards<em> to</em><em> KOR12</em><em> for a gain of</em><em> 10</em><em> yards</em>, tackled by #14 Minjung Yoon",10 yard pass,2,2nd,3,3rd,22,12,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,13,,14,,,complete,0,0,11,57,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,28,38,10,5,0,,,,0,7,7,0,7
12612,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#3 Taylor Leauanae Short middle pass incomplete to #13 Ellie McManaway,Pass incomplete,3,3rd,4,4th,12,12,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,11,58,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,38,38,0,3,0,,,,0,7,7,0,7
12613,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short left pass incomplete to #13 Ellie McManaway<strong>, penalty</strong> Korea Illegal contact defense, 6 yard penalty to KOR6<strong>. 1st down New Zealand</strong>",Pass incomplete,4,4th,1,1st,12,6,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,1,0,11,59,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,38,44,6,3,0,,,,0,7,7,0,7
12614,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#3 Taylor Leauanae Short middle pass incomplete to #13 Ellie McManaway,Pass incomplete,1,1st,2,2nd,6,6,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,11,60,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,44,44,0,2,0,,,,0,7,7,0,7
12615,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short middle pass complete to #13 Ellie McManaway for 6 yards to the KOR0<strong>, touchdown</strong>. Time left 10:27",Touchdown,2,2nd,1,1st,6,,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,13,,,,,complete,0,0,11,61,0,pass,1,0,1,0,0,0,0,0,0,1,27,15,27,15,44,50,6,2,0,27,,6,0,13,13,0,13
12616,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short middle pass incomplete to #13 Ellie McManaway<strong>, penalty</strong> New Zealand Offensive shielding, offsetting<strong>, penalty</strong> Korea Illegal contact defense, offsetting",Extra point attempt,0,PAT 5 yards,1,1st,,,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,1,0,11,62,0,pass,0,0,0,1,0,0,0,0,0,0,27,15,27,15,50,50,0,0,0,,,,0,13,13,0,13
12617,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2," New Zealand, pass attempt, miss",Extra point attempt,0,PAT 5 yards,1,1st,,,5:02,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,miss,0,0,11,63,0,pass,0,0,0,1,0,0,0,0,0,0,27,15,15,27,50,50,0,0,0,,,,0,13,13,0,13
12618,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short right pass complete to #8 Jiho Kim for 5 yards to the KOR10, #8 Jiho Kim run for 5 yards<em> to</em><em> KOR15</em><em> for a gain of</em><em> 10</em><em> yards</em>, tackled by #11 Amorangi Ngata-Atkins",10 yard pass,1,1st,2,2nd,20,10,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,8,,11,,,complete,0,0,12,64,0,pass,1,0,0,0,0,0,0,0,0,0,15,27,15,27,5,15,10,4,0,,,,0,13,0,13,-13
12619,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short left pass complete to #9 Hyebin Park for 3 yards to the KOR18, #9 Hyebin Park run for 3 yards<em> to</em><em> KOR21</em><em> for a gain of</em><em> 6</em><em> yards</em>, tackled by #4 Sia Matai",6 yard pass,2,2nd,3,3rd,10,4,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,9,,4,,,complete,0,0,12,65,0,pass,1,0,0,0,0,0,0,0,0,0,15,27,15,27,15,21,6,2,0,,,,0,13,0,13,-13
12620,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short left pass complete to #8 Jiho Kim for 7 yards to the NZL22, #8 Jiho Kim run for 10 yards<em> to</em><em> NZL12</em><em> for a gain of</em><em> 17</em><em> yards</em>, tackled by #1 Shona-Leigh Matiu<strong>. 1st down Korea</strong>",17 yard pass,3,3rd,1,1st,4,12,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,8,,,,,complete,0,0,12,66,0,pass,1,0,0,0,0,0,0,0,0,0,15,27,15,27,21,38,17,1,1,,,,0,13,0,13,-13
12621,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short left pass complete to #11 Woo Jung Kwon for 5 yards to the NZL7, #11 Woo Jung Kwon run for 1 yards<em> to</em><em> NZL6</em><em> for a gain of</em><em> 6</em><em> yards</em>, tackled by #6 Rosa Maanaima Matautia",6 yard pass,1,1st,2,2nd,12,6,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,11,,6,,,complete,0,0,12,67,0,pass,1,0,0,0,0,0,0,0,0,0,15,27,15,27,38,44,6,3,0,,,,0,13,0,13,-13
12622,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short left pass incomplete to #14 Minjung Yoon, #6 Rosa Maanaima Matautia<strong>, penalty</strong> New Zealand Defensive pass interference, 3 yard penalty to NZL3<strong>. 1st down Korea</strong>",Pass incomplete,2,2nd,1,1st,6,3,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,1,0,12,68,0,pass,0,0,0,0,0,0,0,0,0,0,15,27,15,27,44,47,3,2,0,,,,0,13,0,13,-13
12623,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#43 Hyojin Pak Short right pass complete to #19 Ga Eun Suh for 3 yards to the NZL0<strong>, touchdown</strong>. Time left 04:39",Touchdown,1,1st,1,1st,3,,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,19,,,,,complete,0,0,12,69,0,pass,1,0,1,0,0,0,0,0,0,1,15,27,15,27,47,50,3,1,0,15,6,,6,13,6,13,-7
12624,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2," Korea, pass attempt, miss",Extra point attempt,0,PAT 5 yards,1,1st,,,5:48,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,miss,0,0,12,70,0,pass,0,0,0,1,0,0,0,0,0,0,15,27,27,15,0,0,0,0,0,,,,6,13,6,13,-7
12625,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,#3 Taylor Leauanae Short right pass incomplete to #28 Shirley Lam Sam for 0 yards to the NZL12,Pass incomplete,1,1st,2,2nd,20,20,3:51,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,,,,,,incomplete,0,0,13,71,0,pass,0,0,0,0,0,0,0,0,0,0,27,15,27,15,5,5,0,4,0,,,,6,13,13,6,7
12626,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#4 Sia Matai Short right pass complete to #6 Rosa Maanaima Matautia for 2 yards to the NZL7, #6 Rosa Maanaima Matautia run for 7 yards<em> to</em><em> NZL14</em><em> for a gain of</em><em> 9</em><em> yards</em>, tackled by #14 Minjung Yoon",9 yard pass,2,2nd,3,3rd,20,11,3:51,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,6,,14,,,complete,0,0,13,72,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,5,14,9,4,0,,,,6,13,13,6,7
12627,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#4 Sia Matai Short left pass complete to #6 Rosa Maanaima Matautia for 2 yards to the NZL16, #6 Rosa Maanaima Matautia run for 3 yards<em> to</em><em> NZL19</em><em> for a gain of</em><em> 5</em><em> yards</em>, tackled by #13 Yoonkyung Yoo",5 yard pass,3,3rd,4,4th,11,6,3:51,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,6,,13,,,complete,0,0,13,73,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,14,19,5,3,0,,,,6,13,13,6,7
12628,2024,2,FlagWC,World cup,2,1125,Playoffs,100,19-20,2,"#3 Taylor Leauanae Short right pass complete to #28 Shirley Lam Sam for 6 yards to the NZL25, #28 Shirley Lam Sam run for 1 yards<em> to</em><em> KOR24</em><em> for a gain of</em><em> 7</em><em> yards</em>, tackled by #14 Minjung Yoon<strong>. 1st down New Zealand</strong>",7 yard pass,4,4th,1,1st,6,24,3:51,15,27,6,13,https://ifaf.tv/sportitemset/66c067783767713b5225c79e,,28,,14,,,complete,0,0,13,74,0,pass,1,0,0,0,0,0,0,0,0,0,27,15,27,15,19,26,7,2,1,,,,6,13,13,6,7
