Team,Player ID,Name,Uniform Number,Position,Club
Switzerland,536,Noemi Dopple,57,DB,Winterthur Warriors Ladies 
Switzerland,537,Valentina Frei,37,DB,ASVZ Nightbirds
Switzerland,538,Leandra Häfeli,2,DB,Winterthur Warriors Ladies
Switzerland,539,Enja Hüberli,22,WR,Winterthur Warriors Ladies
Switzerland,540,Anna Laura John,8,QB,Zürich Renegades
Switzerland,541,Kozué Nussbaum,44,WR,Geneva Seahawks 
Switzerland,542,Désirée Sommer,11,C,"St. Gallen Wolfpack, Winterthur Warriors Ladies"
Switzerland,543,Amélie Stüssi,9,WR,Winterthur Warriors Ladies 
Switzerland,544,Joëlle Waser,5,WR,Midland Bouncers
USA,793,Michael Better,24,RSH/C,""
USA,794,Aamir Brown,5,ATH,""
USA,795,"Velton Brown, Jr.",13,WR/DB,""
USA,796,Isaiah Calhoun,11,DB/WR,""
USA,797,Mike Daniels,3,DB/WR,""
USA,798,Laval Davis,4,WR/RSH,""
USA,799,Darrell “Housh”  Doucette,7,QB/C,""
USA,800,"Johnluis ""Lulu"" Hernandez",31,DB/C,""
USA,801,Ja’Deion High,88,WR,""
USA,802,Jamie Kennedy,21,DB/WR,""
USA,803,Bruce Mapp,1,WR/DB,""
USA,804,"Laderrick ""Pablo"" Smith",14,WR/QB,""
Spain,605,Willem Jore-Sastre,1,CB/BLITZ,Valencia Firebats
Spain,606,Matías Castagno,2,WR,Las Rozas Black Demons
Spain,607,Álvaro Cansinos,3,CB,Las Rozas Black Demons
Spain,608,Alejandro García,5,CB/WR,Atlantic Devils
Spain,609,Jorge García,6,CB/WR,Las Rozas Black Demons
Spain,610,Pablo De Diego,7,LB,Las Rozas Black Demons
Spain,611,Guillermo Cámara,8,BLITZ,Valencia Firebats
Spain,612,Jesús Clemente,9,C,Valencia Firebats
Spain,613,Roque Alarcón,10,WR/BLITZ,Valencia Firebats
Spain,614,Chus Batista,11,WR,Valencia Firebats
Spain,615,Iván López,13,QB,Camioneros de Coslada
Spain,616,Alejandro Silvestre,15,LB,Valencia Firebats
Brazil,581,Victor Hugo Ferraz Souza,5,Player,Spartans
Brazil,582,Athos Daniel Da Silva Costa,0,Player,Recife Mariners
Brazil,583,Felipe Nunes Almeida dos Santos,24,Player,Cavalaria 2 de Julho
Brazil,584,Edmar Dos Santos,7,Player,Gators
Brazil,585,Matheus Rodrigo Fabiano Silva,14,Player,Coritiba Crocodiles
Brazil,586,Matheus Silva Duarte de Oliveira,23,Player,Floripa Ghosts
Brazil,587,Renato Esdras Santana Munford de Oliveira,2,Player,Floripa Ghosts
Brazil,588,Pedro Henrique Clemente do Nascimento,13,Player,Vasco Almirantes
Brazil,589,João Pedro Meneghetti Chermont de Miranda,32,Player,Rio Football Academy
Brazil,590,Kyoshi Henrique Takemura Junior,17,Player,Floripa Ghosts
Brazil,591,Felipe Alves Aymoré,70,Player,Caniballs
Brazil,592,Nicolas Mendonça de Quadro,10,Player,Floripa Ghosts
Serbia,805,Goran Zec,1,ATH,Indians Inđija
Serbia,806,Tihomir Todorov,17,C/WR,Indians Inđija
Serbia,807,Miloš Katić,48,DB,Indians Inđija
Serbia,808,Nemanja Vučković,4,ATH,Indians Inđija
Serbia,809,Vukašin Katić,28,DB/WR,Indians Inđija
Serbia,810,Miloš Kolibar,5,DB/C,Sirmium Legionari
Serbia,811,Marko Žurkić,6,ATH,Indians Inđija
Serbia,812,Vukašin Gajović,0,WR/BL,Royal Crowns Kraljevo
Serbia,813,Dejan Jašćur,2,WR/DB,Sirmium Legionari
Serbia,814,Stefan Borković,14,WR/QB,Indians Inđija
Serbia,815,Jovan Davidović,18,WR/DB,Indians Inđija
Serbia,816,Milan Manić,12,QB,Orlovi Novi Beograd
Mexico,829,Victor Balderramos,1,QB,TEAM MEXICO
Mexico,830,Bruno Quijano,2,WR,TEAM MEXICO
Mexico,831,Damian Chirinos,3,WR,TEAM MEXICO
Mexico,832,Brett Reyes,7,DB,TEAM MEXICO
Mexico,833,Ivan Orozco,8,QB,TEAM MEXICO
Mexico,834,George Landeros,9,DB,TEAM MEXICO
Mexico,835,Christopher Cardona,12,WR,TEAM MEXICO
Mexico,836,Diego Yañez,15,WR,TEAM MEXICO
Mexico,837,Sergio Gonzalez,17,DB,TEAM MEXICO
Mexico,838,Alexis Ortega,20,R,TEAM MEXICO
Mexico,839,Alonso Gaxiola,23,DB,TEAM MEXICO
Mexico,840,Harold Garibay,80,DB,TEAM MEXICO
Australia,569,Aaron Howard,10,PR/DB,Brotherly Shove/Gronk It
Australia,570,Bart Foley,12,QB,2 Yard Curls/ Gronk It
Australia,571,Brad Howard,7,WR,Brotherly Shove/Gronk It
Australia,572,Dan O'Shaughnessy,15,QB,Algester Ambush
Australia,573,Cody Donlan,9,DB,""
Australia,574,Connor Young Free,3,DB,""
Australia,575,Jack Straatsma,24,PR,""
