PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
14;D;;;;2;14;-11;Complete;0;;;8;;;;;;;;;;;11;29;14;3;1;TM1
15;D;;;;3;6;-19;Complete;0;;;6;;;;;;;;;;;19;29;15;3;1;TM1
16;D;;;;1;25;25;Incomplete;0;;;0;;;;;;;;;;;25;29;16;3;1;TM1
17;D;;;;2;25;25;Interception;0;;;;;;;;;;;;;;25;29;17;3;1;TM1
18;O;NUB;Snake Rolex;Mills Weak;1;10;-15;Rush;0;;FISCHER;9;;;FISCHER;;;;;;;;15;29;18;4;1;GER
19;O;NUB;DOPA;Sail;2;1;-24;Incomplete;0;SKIP;;0;;CERMAK;HEYDE;;;;;;;;24;29;19;4;1;GER
20;O;NUB;ROLEX;Mills;3;1;-24;Incomplete;0;FADE;;0;;CERMAK;SCHWARZ;;;;;;;;24;29;20;4;1;GER
21;O;DOG;Snake Rolex;Sail Weak;4;1;-24;Rush;0;;FISCHER;8;;;FISCHER;;;;;;;;24;29;21;4;1;GER
22;O;NUB;ROLEX;Dagger Weak;1;18;18;Incomplete;0;DIG;;0;;CERMAK;HEYDE;;;;;;;;32;29;22;4;1;GER
23;O;NUB;Snake Drop;Sail;2;18;18;Incomplete;0;FIN;;0;;FISCHER;SCHWARZ;;;;;;;;32;29;23;4;1;GER
24;O;NUB;DOPA;Mills Weak;3;18;18;Incomplete;0;CORNER;;0;;CERMAK;SPIES;;;;;;;;32;29;24;4;1;GER
25;O;NUB;ROLEX;Mills;4;18;18;Incomplete;0;SKIP;;0;;FISCHER;HEYDE;;;;;;;;32;29;25;4;1;GER
26;D;;;;1;20;-5;Complete;0;;;7;;;;;;;;;;;5;29;26;5;1;TM1
27;D;;;;2;13;-12;Incomplete;0;;;0;;;;;;;;;;;12;29;27;5;1;TM1
28;D;;;;3;13;-12;Incomplete;0;;;0;;;;;;;;;;;12;29;28;5;1;TM1
29;D;;;;4;13;-12;Incomplete;0;;;0;;;;;;;;;;;12;29;29;5;1;TM1
30;O;DOG;Snake Rolex;Sail Weak;1;20;-5;Rush;1;;FISCHER;12;;;FISCHER;;;;;;;;5;29;30;6;1;GER
31;O;NUB;ROLEX;Dagger Weak;2;8;-17;Incomplete;1;DIG;;0;;CERMAK;HEYDE;;;;;;;;17;29;31;6;1;GER
32;O;NUB;Snake Rolex;Sail Weak;3;8;-17;Rush;1;;FISCHER;5;;;FISCHER;;;;;;;;17;29;32;6;1;GER
33;O;NUB;Snake Rolex;Dagger Weak;4;3;-22;Rush;1;;FISCHER;13;;;FISCHER;;;;;;;;22;29;33;6;1;GER
34;O;NUB;Snake Rolex;Dagger Weak;1;15;15;Fumble;1;;;-3;;FISCHER;;;;;;;;;35;29;34;6;1;GER
35;O;NUB;ROLEX;Sail;2;18;18;Rush;1;;FISCHER;5;;;FISCHER;;;;;;;;32;29;35;6;1;GER
36;O;NUB;ROLEX;Mills;3;13;13;Complete;1;SCRAMBLE;SPIES;12;;CERMAK;SPIES;;;;;;;;37;29;36;6;1;GER
37;O;;;;4;1;1;Penalty;1;;;-5;;;;;;;;;;;49;29;37;6;1;GER
38;O;SLOT;;Slot Dig;4;6;6;Complete, TD;1;WHIP;SPIES;6;;CERMAK;SPIES;;;;;;;;44;29;38;6;1;GER
39;O;NUB;Snake DOPA;Dagger;0;10;10;Incomplete;0;;;0;;CERMAK;;;;;;;;;40;29;39;6;1;GER
40;O;NUB;Snake Drop;Sail;1;20;-5;Incomplete;0;SHALLOW;;0;;FISCHER;CERMAK;;;;;;;;5;29;40;7;2;GER
41;O;NUB;ROLEX;Mills;2;20;-5;Incomplete;0;POST;;0;;CERMAK;SCHWARZ;;;;;;;;5;29;41;7;2;GER
42;O;NUB;Snake Rolex;Sail Weak;3;20;-5;Penalty;0;;FISCHER;-1;;;FISCHER;;;;;;;;5;29;42;7;2;GER
43;O;NUB;DOPA;Mills Weak;4;21;-4;Complete;0;CURL IN;HEYDE;14;;CERMAK;HEYDE;;;;;;;;4;29;43;7;2;GER
44;D;;;;1;20;-5;Complete;1;;;7;;;;;;;;;;;5;29;44;8;2;TM1
45;D;;;;2;13;-12;Complete;1;;;8;;;;;;;;;;;12;29;45;8;2;TM1
46;D;;;;3;5;-20;Complete;1;;;6;;;;;;;;;;;20;29;46;8;2;TM1
47;D;;;;1;24;24;Incomplete;1;;;0;;;;;;;;;;;26;29;47;8;2;TM1
48;D;;;;2;24;24;Incomplete;1;;;0;;;;;;;;;;;26;29;48;8;2;TM1
49;D;;;;3;24;24;Penalty;1;;;15;;;;;;;;;;;26;29;49;8;2;TM1
50;D;;;;1;9;9;Complete;1;;;8;;;;;;;;;;;41;29;50;8;2;TM1
51;D;;;;2;1;1;Complete, TD;1;;;1;;;;;;;;;;;49;29;51;8;2;TM1
52;D;;;;0;5;5;Good;1;;;5;;;;;;;;;;;45;29;52;8;2;TM1
53;O;DOG;ROLEX;Sail;1;20;-5;Penalty;1;;;10;;;;;;;;;;;5;29;53;9;2;GER
54;O;DOG;ROLEX;Sail;1;10;-15;Complete;1;SIP;SPIES;12;1;CERMAK;SPIES;;;;;;;;15;29;54;9;2;GER
55;O;DOG;ROLEX;Sail;1;23;23;Incomplete;1;SKIP;;0;;CERMAK;SCHWARZ;;;;;;;;27;29;55;9;2;GER
56;O;NUB;ROLEX;Mills;2;23;23;Complete;1;SCRAMBLE;SPIES;7;0;CERMAK;SPIES;;;;;;;;27;29;56;9;2;GER
57;O;DOG;ROLEX;Sail;3;16;16;Rush;1;;FISCHER;12;;;FISCHER;;;;;;;;34;29;57;9;2;GER
58;O;SLOT;;Slot Dig;4;4;4;Complete, TD;1;WHIP;SPIES;4;0;CERMAK;SPIES;;;;;;;;46;29;58;9;2;GER
59;O;NUB;ROLEX;Dagger Weak;0;10;10;Good;1;WHIP SLANT;SPIES;;3;CERMAK;SPIES;;;;;;;;40;29;59;9;2;GER
60;D;;;;1;20;-5;Complete;0;;;6;;;;;;;;;;;5;29;60;10;2;TM1
61;D;;;;2;14;-11;Complete;0;;;4;;;;;;;;;;;11;29;61;10;2;TM1
62;D;;;;3;10;-15;Incomplete;0;;;0;;;;;;;;;;;15;29;62;10;2;TM1
63;D;;;;4;10;-15;Incomplete;0;;;0;;;;;;;;;;;15;29;63;10;2;TM1
65;O;DOG;ROLEX;Sail Weak;1;20;-5;Complete;1;SIP;SPIES;11;0;CERMAK;SPIES;;;;;;;;5;29;64;11;2;GER
66;O;SLOT;;Jet;2;9;-16;Rush;1;;HEYDE;-1;;;HEYDE;;;;;;;;16;29;65;11;2;GER
67;O;NUB;ROLEX;Dagger Weak;3;10;-15;Complete;1;WHIP SLANT;SPIES;31;24;CERMAK;SPIES;;;;;;;;15;29;66;11;2;GER
68;O;PILE;;Swap Smash;1;4;4;Complete, TD;1;POST;FISCHER;4;0;CERMAK;FISCHER;;;;;;;;46;29;67;11;2;GER
69;O;NUB;ROLEX;Dagger Weak;0;10;10;Good;1;WHIP SLANT;SPIES;10;3;CERMAK;SPIES;;;;;;;;40;29;68;11;2;GER
70;D;;;;1;20;-5;Incomplete;;;;0;;;;;;;;;;;5;29;69;12;2;TM1
71;D;;;;2;20;-5;Complete;;;;5;;;;;;;;;;;5;29;70;12;2;TM1
72;D;;;;3;15;-10;Incomplete;;;;0;;;;;;;;;;;10;29;71;12;2;TM1
1;O;DOG;X DOPA;Dagger Weak;1;20;-5;Complete;1;DIG;RIESS;15;7;STEVENS;RIESS;;;;;;;;5;30;1;1;1;GER
2;O;NUB;ROLEX;Dagger Weak;2;5;-20;Complete, TD;1;FADE;TREIBER;30;2;REBAR;TREIBER;;;;;;;;20;30;2;1;1;GER
3;O;NUB;ROLEX;Sail Weak;0;10;10;Incomplete;0;SIP;;0;;REBAR;PIETRYGA;;;;;;;;40;30;3;1;1;GER
4;D;;;;1;20;-5;Complete;0;;;7;;;;;;;;;;;5;30;4;2;1;TM1
5;D;;;;2;13;-12;Complete;0;;;7;;;;;;;;;;;12;30;5;2;1;TM1
6;D;;;;3;6;-19;Complete;0;;;3;;;;;;;;;;;19;30;6;2;1;TM1
7;D;;;;4;3;-22;Incomplete;0;;;0;;;;;;;;;;;22;30;7;2;1;TM1
8;O;DOG;;;1;20;-5;Incomplete;0;;;0;;STEVENS;;;;;;;;;5;30;8;3;1;GER
9;O;DOG;X DOPA;Dagger Weak;2;20;-5;Incomplete;0;DIG;;0;;STEVENS;RIESS;;;;;;;;5;30;9;3;1;GER
10;O;NUB;DOPA;Mills Weak;3;20;-5;Complete;0;CURL;RIESS;12;4;STEVENS;RIESS;;;;;;;;5;30;10;3;1;GER
11;O;NUB;DOPA;Dagger;4;8;-17;Incomplete;0;DIG;;0;;REBAR;TREIBER;;;;;;;;17;30;11;3;1;GER
12;D;;;;1;20;-5;Complete;1;;;8;;;;;;;;;;;5;30;12;4;1;TM1
13;D;;;;2;12;-13;Complete;1;;;11;;;;;;;;;;;13;30;13;4;1;TM1
14;D;;;;3;1;-24;Incomplete;1;;;0;;;;;;;;;;;24;30;14;4;1;TM1
15;D;;;;4;1;-24;Complete;1;;;5;;;;;;;;;;;24;30;15;4;1;TM1
16;D;;;;1;21;21;Complete;1;;;16;;;;;;;;;;;29;30;16;4;1;TM1
17;D;;;;2;5;5;Complete, TD;1;;;5;;;;;;;;;;;45;30;17;4;1;TM1
18;D;;;;0;5;3;No Good;0;;;;;;;;;;;;;;47;30;18;4;1;TM1
19;O;NUB;DROP;Sail;1;20;-5;Incomplete;1;FIN;;0;;STEVENS;TREIBER;;;;;;;;5;30;19;5;1;GER
20;O;DOG;X DOPA;Dagger Weak;2;20;-5;Complete;1;DIG;RIESS;10;2;STEVENS;RIESS;;;;;;;;5;30;20;5;1;GER
21;O;NUB;ROLEX;Dagger Weak;3;10;-15;Complete;1;DIG;RIESS;22;;REBAR;RIESS;;;;;;;;15;30;21;5;1;GER
22;O;NUB;Snake Rolex;Sail Weak;1;13;13;Complete, TD;1;SCRAMBLE;PIETRYGA;13;0;REBAR;PIETRYGA;;;;;;;;37;30;22;5;1;GER
23;O;NUB;DOPA;Mills Weak;0;10;10;Good;1;CURL IN;RIESS;10;1;REBAR;RIESS;;;;;;;;40;30;23;5;1;GER
24;D;;;;1;20;-5;Complete;1;;;11;;;;;;;;;;;5;30;24;6;1;TM1
25;D;;;;2;9;-16;Incomplete;1;;;0;;;;;;;;;;;16;30;25;6;1;TM1
26;D;;;;3;9;-16;Incomplete;1;;;0;;;;;;;;;;;16;30;26;6;1;TM1
28;D;;;;4;9;-16;Rush;1;;;9;;;;;;;;;;;16;30;27;6;1;TM1
29;D;;;;1;25;25;Complete;1;;;8;;;;;;;;;;;25;30;28;6;1;TM1
30;D;;;;2;17;17;Complete;1;;;7;;;;;;;;;;;33;30;29;6;1;TM1
31;D;;;;3;10;10;Sack;1;;;-5;;;;;;;;;;;40;30;30;6;1;TM1
32;D;;;;4;15;15;Complete, TD;1;;;15;;;;;;;;;;;35;30;31;6;1;TM1
33;D;;;;0;5;5;No Good;0;;;0;;;;;;;;;;;45;30;32;6;1;TM1
34;O;DOG;X DOPA;Mills Weak;1;20;-5;Complete;1;CURL IN;RIESS;10;1;STEVENS;RIESS;;;;;;;;5;30;33;7;1;GER
35;O;DOG;ROLEX;Dagger Weak;2;10;-15;Complete;1;WHIP SLANT;PIETRYGA;8;0;REBAR;PIETRYGA;;;;;;;;15;30;34;7;1;GER
36;O;NUB;X DOPA;Mills Weak;3;2;-23;Incomplete;1;CORNER;;0;;STEVENS;PIETRYGA;;;;;;;;23;30;35;7;1;GER
37;O;SLOT;;STICK;4;2;-23;Complete;1;OUT;REBAR;7;4;STEVENS;REBAR;;;;;;;;23;30;36;7;1;GER
38;O;NUB;DOPA;Mills Weak;1;20;20;Complete, TD;1;FADE;TREIBER;20;0;STEVENS;TREIBER;;;;;;;;30;30;37;7;1;GER
39;O;NUB;ROLEX;Dagger Weak;0;10;10;Good;1;SCRAMBLE;TREIBER;10;0;REBAR;TREIBER;;;;;;;;40;30;38;7;1;GER
40;D;;;;1;20;-5;Incomplete;;;;0;;;;;;;;;;;5;30;39;8;1;TM1
41;D;;;;2;20;-5;Complete;;;;6;;;;;;;;;;;5;30;40;8;1;TM1
42;D;;;;3;14;-11;Complete;;;;24;;;;;;;;;;;11;30;41;8;1;TM1
43;D;;;;1;15;15;Sack;;;;-5;;;;;;;;;;;35;30;42;8;1;TM1
44;D;;;;2;20;20;Incomplete;;;;0;;;;;;;;;;;30;30;43;8;1;TM1
45;D;;;;1;20;-5;Complete;0;;;13;;;;;;;;;;;5;30;44;9;2;TM1
46;D;;;;2;7;-18;Complete;0;;;5;;;;;;;;;;;18;30;45;9;2;TM1
47;D;;;;3;2;-23;Complete;0;;;6;;;;;;;;;;;23;30;46;9;2;TM1
48;D;;;;1;21;21;Incomplete;0;;;0;;;;;;;;;;;29;30;47;9;2;TM1
49;D;;;;2;21;21;Complete;0;;;13;;;;;;;;;;;29;30;48;9;2;TM1
50;D;;;;3;8;8;Complete;0;;;7;;;;;;;;;;;42;30;49;9;2;TM1
51;D;;;;4;1;1;Incomplete;0;;;0;;;;;;;;;;;49;30;50;9;2;TM1
52;O;DOG;DOPA;Dagger Weak;1;20;-5;Complete;1;DIG;RIESS;8;1;STEVENS;RIESS;;;;;;;;5;30;51;10;2;GER
53;O;NUB;ROLEX;Dagger Weak;2;12;-13;Complete;1;DIG;RIESS;12;1;REBAR;RIESS;;;;;;;;13;30;52;10;2;GER
54;O;NUB;X DOPA;Mills Weak;3;0;25;Complete;1;CURL;RIESS;7;0;STEVENS;RIESS;;;;;;;;25;30;53;10;2;GER
55;O;NUB;X DOPA;Mills Weak;1;18;18;Penalty;1;CORNER;;9;;;;;;;;;;;32;30;54;10;2;GER
56;O;NUB;Snake Rolex;Sail Weak;1;9;9;Incomplete;1;SKIP;;0;;REBAR;RIESS;;;;;;;;41;30;55;10;2;GER
57;O;NUB;DOPA C;Dagger;2;9;9;Incomplete;1;POST;;0;;STEVENS;REBAR;;;;;;;;41;30;56;10;2;GER
58;O;SLOT;;STICK;3;9;9;Complete, TD;1;OUT;REBAR;9;1;STEVENS;REBAR;;;;;;;;41;30;57;10;2;GER
59;O;;;;0;5;5;Penalty;;;;2;;;;;;;;;;;45;30;58;10;2;GER
60;O;PILE;;Slot Dig;0;5;3;Good;1;WHIP;PIETRYGA;3;0;STEVENS;PIETRYGA;;;;;;;;47;30;59;10;2;GER
61;D;;;;1;20;-5;Complete;0;;;7;;;;;;;;;;;5;30;60;11;2;TM1
62;D;;;;2;13;-12;Complete;0;;;7;;;;;;;;;;;12;30;61;11;2;TM1
63;D;;;;3;6;-19;Incomplete;0;;;0;;;;;;;;;;;19;30;62;11;2;TM1
64;D;;;;4;6;-19;Incomplete;0;;;0;;;;;;;;;;;19;30;63;11;2;TM1
65;O;DOG;X DOPA;Dagger Weak;1;20;-5;Incomplete;1;DIG;;0;;STEVENS;RIESS;;;;;;;;5;30;64;12;2;GER
66;O;NUB;ROLEX;Sail;2;20;-5;Incomplete;1;;;0;;STEVENS;PIETRYGA;;;;;;;;5;30;65;12;2;GER
67;O;NUB;X DOPA;Mills Weak;3;20;-5;Complete;1;CURL;RIESS;8;1;STEVENS;RIESS;;;;;;;;5;30;66;12;2;GER
68;O;NUB;X DOPA;Mills Weak;4;12;-13;Complete;1;FADE;TREIBER;31;1;STEVENS;TREIBER;;;;;;;;13;30;67;12;2;GER
69;O;SLOT;;STICK;1;6;6;Incomplete;1;OUT;;0;;STEVENS;RIESS;;;;;;;;44;30;68;12;2;GER
70;O;NUB;Snake Rolex;Sail Weak;2;6;6;Rush;1;;KOHN;4;;;KOHN;;;;;;;;44;30;69;12;2;GER
71;O;BUNCH;;SUN;3;2;2;Complete, TD;1;CORE;TREIBER;2;0;STEVENS;TREIBER;;;;;;;;48;30;70;12;2;GER
72;O;PILE;;;0;5;5;Incomplete;0;CORNER;;0;;STEVENS;PIETRYGA;;;;;;;;45;30;71;12;2;GER
73;D;;;;1;20;-5;Complete;1;;;4;;;;;;;;;;;5;30;72;13;2;TM1
74;D;;;;2;16;-9;Complete, TD;1;;;41;;;;;;;;;;;9;30;73;13;2;TM1
75;D;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;30;74;13;2;TM1
Germany;Ireland;DOG;S Drop;Dagger;1;20;-5;Complete;1;Bender;RIESS;28;25;STEVENS;RIESS;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;5;31;1;1;1;GER
Germany;Ireland;;-;;1;17;17;Penalty;1;;;-5;;;;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;33;31;2;1;1;GER
Germany;Ireland;DOG;S Drop;Sail;2;22;22;Rush;1;;;3;;STEVENS;;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;28;31;3;1;1;GER
Germany;Ireland;NUB;S Drop;Dagger;3;19;19;Complete, TD;1;Dig;RIESS;19;8;THIELE;RIESS;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;31;31;4;1;1;GER
Germany;Ireland;DOG;Snake Rolex;Sail;0;10;0;Incomplete;0;Bender;;;18;STEVENS;RIESS;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;50;31;5;1;1;GER
Ireland;Germany;;;;1;20;-5;Penalty;0;;;-3;;;;;;;;;;;5;31;6;2;1;IRE
Ireland;Germany;SPREAD;NO;;1;23;-2;Incomplete;0;SAIL;;0;7;;;;;;;;;;2;31;7;2;1;IRE
Ireland;Germany;SPREAD;JET;;2;23;-2;Rush;0;;;1;-2;;;;;;;;;;2;31;8;2;1;IRE
Ireland;Germany;TRIPS;NO;;3;22;-3;Incomplete;0;WHEEL;;0;19;;;;;;;;;;3;31;9;2;1;IRE
Ireland;Germany;TRIPS;NO;;4;22;-3;Interception;0;WHEEL;;;20;;;;;;;;;;3;31;10;2;1;IRE
Germany;Ireland;DOG;S CROSS;Dagger;1;21;21;Complete;1;DIG;DE GAVARELLI;8;8;STEVENS;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;29;31;11;3;1;GER
Germany;Ireland;DOG;Snake Rolex;Swap Smash;2;13;13;Incomplete;1;CORNER;;0;18;THIELE;PIETRYGA;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;37;31;12;3;1;GER
Germany;Ireland;DOG;Snake Rolex;Swap Smash;3;13;13;Complete, TD;1;POST;DE GAVARELLI;13;16;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;37;31;13;3;1;GER
Germany;Ireland;DOG;S Drop;Mills;0;10;10;Incomplete;0;POCO;;0;18;STEVENS;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;40;31;14;3;1;GER
Ireland;Germany;SPREAD;NO;;1;20;-5;Complete;0;HITCH;;4;4;;;;;;;;;;5;31;15;4;1;IRE
Ireland;Germany;SPREAD;NO;;2;16;-9;Incomplete;0;POST;;0;15;;;;;;;;;;9;31;16;4;1;IRE
Ireland;Germany;SPREAD;NO;;3;16;-9;Incomplete;0;FIN;;0;7;;;;;;;;;;9;31;17;4;1;IRE
Ireland;Germany;SPREAD;NO;;4;16;-9;Incomplete;0;POST;;0;18;;;;;;;;;;9;31;18;4;1;IRE
Germany;Ireland;;-;;1;20;-5;Complete;0;;RIESS;7;;;RIESS;Thiele;Schwarz;de Gavarelli;Stevens;Riess;;;5;31;19;5;1;GER
Germany;Ireland;NUB STACK;Snake Rolex;Sail;2;13;-12;Complete;0;SAIL;SCHWARZ;11;11;STEVENS;SCHWARZ;Thiele;Schwarz;de Gavarelli;Stevens;Riess;;;12;31;20;5;1;GER
Germany;Ireland;DOG;S Drop;Mills;3;2;-23;Incomplete;0;POST;;0;15;THIELE;DE GAVARELLI;Thiele;Schwarz;de Gavarelli;Stevens;Riess;;;23;31;21;5;1;GER
Germany;Ireland;SPREAD;NO;STICK;4;2;-23;Incomplete;0;OUT;;0;3;THIELE;STEVENS;Thiele;Schwarz;de Gavarelli;Stevens;Riess;;;23;31;22;5;1;GER
Ireland;Germany;TRIPS;JET;;1;20;-5;Incomplete;0;CONE;;0;4;;;;;;;;;;5;31;23;6;1;IRE
Ireland;Germany;TRIPS;NO;;2;20;-5;Incomplete;0;SHALLOW;;0;4;;;;;;;;;;5;31;24;6;1;IRE
Ireland;Germany;SPREAD;NO;;3;20;-5;Interception;0;POST;;;20;;;;;;;;;;5;31;25;6;1;IRE
Germany;Ireland;NUB STACK;Snake Rolex;Sail;1;8;8;Complete, TD;1;SIP;PIETRYGA;8;8;STEVENS;PIETRYGA;Thiele;Pietryga;Schwarz;Stevens;Riess;;;42;31;26;7;1;GER
Germany;Ireland;DOG;S CROSS;Dagger;0;10;10;Good;1;SCRAMBLE;RIESS;10;19;STEVENS;RIESS;Thiele;Pietryga;Schwarz;Stevens;Riess;;;40;31;27;7;1;GER
Ireland;Germany;TRIPS;NO;;1;20;-5;Complete;0;TUNNEL;;4;-1;;;;;;;;;;5;31;28;8;1;IRE
Ireland;Germany;TRIPS;JET;;2;16;-9;Complete;0;CONE;;4;3;;;;;;;;;;9;31;29;8;1;IRE
Ireland;Germany;;;;3;12;-13;Penalty;0;;;-5;;;;;;;;;;;13;31;30;8;1;IRE
Ireland;Germany;TRIPS;NO;;3;17;-8;Incomplete;0;CONE;;0;4;;;;;;;;;;8;31;31;8;1;IRE
Ireland;Germany;SPREAD;NO;;4;17;-8;Incomplete;0;DEEP CURL;;0;20;;;;;;;;;;8;31;32;8;1;IRE
Germany;Ireland;DOG;S CROSS;Dagger;1;20;-5;Complete;1;DIG;DE GAVARELLI;14;10;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;5;31;33;9;1;GER
Germany;Ireland;;-;;2;6;-19;Penalty;1;;;10;;;;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;19;31;34;9;1;GER
Germany;Ireland;BUNCH;S Drop;Mills;1;21;21;Complete;1;CURL;SCHWARZ;14;10;THIELE;SCHWARZ;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;29;31;35;9;1;GER
Germany;Ireland;NUB STACK;Snake Rolex;Sail;2;7;7;Incomplete;1;SIP;;0;9;STEVENS;PIETRYGA;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;43;31;36;9;1;GER
Germany;Ireland;SPREAD;ROLEX;Dagger;3;7;7;Complete, TD;1;DIG;SCHWARZ;7;8;STEVENS;SCHWARZ;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;43;31;37;9;1;GER
Germany;Ireland;DOG;S Drop;Mills;0;10;10;Good;1;CURL;SCHWARZ;10;12;THIELE;SCHWARZ;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;40;31;38;9;1;GER
Ireland;Germany;TRIPS;JET;;1;20;-5;Rush;;;;0;-3;;;;;;;;;;5;31;39;10;1;IRE
Ireland;Germany;TRIPS;NO;;2;20;-5;Incomplete;;HITCH;;0;6;;;;;;;;;;5;31;40;10;1;IRE
Ireland;Germany;SPREAD;NO;;3;20;-5;Incomplete;;WHIP;;0;5;;;;;;;;;;5;31;41;10;1;IRE
Ireland;Germany;;;;4;20;-5;Incomplete;;;;;;;;;;;;;;;5;31;42;10;1;IRE
Ireland;Germany;SPREAD;NO;;1;20;-5;Complete;0;SLANT;;16;9;;;;;;;;;;5;31;43;10;2;IRE
Ireland;Germany;SPREAD;JET;;2;4;-21;Complete;0;;;-1;-4;;;;;;;;;;21;31;44;10;2;IRE
Ireland;Germany;SPREAD;NO;;3;5;-20;Incomplete;0;HITCH;;0;5;;;;;;;;;;20;31;45;10;2;IRE
Ireland;Germany;SPREAD;NO;;4;5;-20;Incomplete;0;OUT;;0;3;;;;;;;;;;20;31;46;10;2;IRE
Germany;Ireland;NUB STACK;NO;Peel;1;20;-5;Complete;1;OTB;RIESS;7;5;THIELE;RIESS;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;5;31;47;11;2;GER
Germany;Ireland;DOG;S Drop;Dagger;2;13;-12;Complete;1;DIG;DE GAVARELLI;16;8;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;12;31;48;11;2;GER
Germany;Ireland;DOG;S Drop;Dagger;1;22;22;Complete, TD;1;DIG;RIESS;22;8;THIELE;RIESS;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;28;31;49;11;2;GER
Germany;Ireland;NUB STACK;Snake Rolex;Sail;0;10;10;Incomplete;0;;;0;;STEVENS;;Thiele;Pietryga;de Gavarelli;Stevens;Riess;;;40;31;50;11;2;GER
Ireland;Germany;SPREAD;NO;;1;20;-5;Incomplete;0;SLANT;;0;5;;;;;;;;;;5;31;51;12;2;IRE
Ireland;Germany;SPREAD;NO;;2;20;-5;Complete;0;HITCH;;7;5;;;;;;;;;;5;31;52;12;2;IRE
Ireland;Germany;SPREAD;NO;;3;13;-12;Incomplete;0;SAIL;;0;6;;;;;;;;;;12;31;53;12;2;IRE
Ireland;Germany;SPREAD;NO;;4;13;-12;Incomplete;0;GLANCE;;0;14;;;;;;;;;;12;31;54;12;2;IRE
Germany;Ireland;NUB STACK;NO;Peel;1;20;-5;Complete;1;OTB OUT;SCHWARZ;12;9;THIELE;SCHWARZ;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;5;31;55;13;2;GER
Germany;Ireland;SPREAD;ROLEX;Mills;2;8;-17;Incomplete;1;CORNER;;0;;STEVENS;PIETRYGA;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;17;31;56;13;2;GER
Germany;Ireland;DOG;Snake S DROP;Dagger;3;8;-17;Complete;1;DIG;DE GAVARELLI;19;8;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;17;31;57;13;2;GER
Germany;Ireland;DOG;S Cross;Dagger;1;14;14;Complete;1;DIG;DE GAVARELLI;13;8;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;36;31;58;13;2;GER
Germany;Ireland;BUNCH;NO;Swap Smash;2;1;1;Complete, TD;1;CORE;DE GAVARELLI;1;2;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;49;31;59;13;2;GER
Germany;Ireland;NUB STACK;NO;Tulane;0;10;5;Good;1;Sail;DE GAVARELLI;12;5;THIELE;DE GAVARELLI;Thiele;Pietryga;de Gavarelli;Stevens;Schwarz;;;45;31;60;13;2;GER
Ireland;Germany;SPREAD;NO;;1;20;-5;Incomplete;0;HITCH;;0;5;;;;;;;;;;5;31;61;14;2;IRE
Ireland;Germany;SPREAD;NO;;2;20;-5;Incomplete;0;SHALLOW;;0;5;;;;;;;;;;5;31;62;14;2;IRE
Ireland;Germany;;;;3;20;-5;Penalty;0;;;-2;;;;;;;;;;;5;31;63;14;2;IRE
Ireland;Germany;SPREAD;NO;;4;22;-3;Interception;0;POST;;;19;;;;;;;;;;3;31;64;14;2;IRE
Germany;Ireland;DOG;Snake S DROP;Dagger;1;22;22;Incomplete;1;POCO;;0;26;THIELE;SCHWARZ;Thiele;Schwarz;de Gavarelli;Stevens;Riess;;;28;31;65;15;2;GER
Germany;Ireland;DOG;Snake S DROP;Dagger;2;22;22;Complete;1;DIG;DE GAVARELLI;7;7;THIELE;DE GAVARELLI;Thiele;Schwarz;de Gavarelli;Stevens;Riess;;;28;31;66;15;2;GER
