PLAY #;ODK;OFF FORM;Off Str;OFF PLAY;DN;DIST;YARD LN;RESULT;Drive Success;TARGET ROUTE;RECEIVED BY;GN/LS;Thrown By;YAC;QB;C;X/H;Y/CAT;Z;Target;Drop;B;yardline_50;game_id;play_id;drive_id;half;posteam
9;Slot Right;Slot;Left;Dagger;2;15;-10;Complete;1;DIG;SPIES;14;THIELE;5;;;;;;SPIES;;;10;2;9;2;1;GER
10;Slot Left;Slot;Left;Rolex Poco;3;1;-24;Rush;1;;THIELE;8;THIELE;;;;;;;;;;24;2;10;2;1;GER
11;Slot Left;Slot;Right;Dagger;1;18;18;Complete;1;DIG;SPIES;8;THIELE;1;;;;;;SPIES;;;32;2;11;2;1;GER
12;Slot Right;Slot;Left;Rolex Curls;2;10;10;Incomplete;1;DIP;;0;STEVENS;;;;;;;PIETRYGA;;;40;2;12;2;1;GER
13;Slot Left;Pile;Right;Dagger;3;10;10;Complete, TD;1;POCO;THIELE;10;STEVENS;0;;;;;;THIELE;;;40;2;13;2;1;GER
14;Pile Right;;;;0;10;5;Fumble;1;;;;;;;;;;;;;;45;2;14;2;1;OPP
15;;;;;1;20;-5;;1;;;12;;;;;;;;;;;5;2;15;3;1;OPP
16;;;;;2;8;-17;;1;;;7;;;;;;;;;;;17;2;16;3;1;OPP
17;;;;;3;1;-24;;1;;;12;;;;;;;;;;;24;2;17;3;1;OPP
18;;;;;1;14;14;Complete, TD;1;;;14;;;;;;;;;;;36;2;18;3;1;OPP
19;;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;2;19;3;1;OPP
20;;Slot;Left;Sail;1;20;-5;Complete;1;SAIL;SPIES;16;THIELE;7;;;;;;SPIES;;;5;2;20;4;1;GER
21;Slot Left;Slot;Right;Snake JET;2;4;-21;Rush;1;;SCHWARZ;14;;;;;;;;;;;21;2;21;4;1;GER
22;Slot Right;Slot;Right;Dagger;1;15;15;Incomplete;1;DIG;;0;THIELE;;;;;;;SPIES;;;35;2;22;4;1;GER
23;Slot Right;Slot;Right;Rolex Poco;2;15;15;Incomplete;1;POCO;;0;STEVENS;;;;;;;SPIES;;;35;2;23;4;1;GER
25;Slot Right;Pile;Left;Dagger;3;15;15;Complete;1;DIG;SPIES;11;STEVENS;0;;;;;;SPIES;;;35;2;24;4;1;GER
26;Pile Left;Slot;Right;STICK;4;4;4;Complete, TD;1;OUT;STEVENS;4;THIELE;0;;;;;;STEVENS;;;46;2;25;4;1;GER
27;Slot Right;Slot;Right;Dagger;0;10;10;Incomplete;1;;;0;THIELE;;;;;;;;;;40;2;26;4;1;GER
28;;;;;1;20;-5;;1;;;3;;;;;;;;;;;5;2;27;5;1;OPP
29;;;;;2;17;-8;;1;;;6;;;;;;;;;;;8;2;28;5;1;OPP
30;;;;;3;11;-14;;1;;;32;;;;;;;;;;;14;2;29;5;1;OPP
31;;;;;1;10;4;Complete, TD;1;;;4;;;;;;;;;;;46;2;30;5;1;OPP
32;;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;2;31;5;1;OPP
33;Slot Right;Slot;Left;OHIO;1;20;-5;Incomplete;1;FADE;;0;THIELE;;;;;;;SPIES;;;5;2;32;6;1;GER
34;Slot Left;Cat;Left;Curls;2;20;-5;Complete;1;CURL;RIESS;8;THIELE;0;;;;;;RIESS;;;5;2;33;6;1;GER
35;Cat Left;Slot;Left;Rolex Poco;3;12;-13;Complete;1;CURL OUT;PIETRYGA;14;THIELE;0;;;;;;PIETRYGA;;;13;2;34;6;1;GER
36;Slot Left;Cat;Right;Curls;1;23;23;Rush;1;;THIELE;3;THIELE;;;;;;;;;;27;2;35;6;1;GER
37;Cat Right;Slot;Right;Dagger;2;20;20;Complete;1;SAIL;PIETRYGA;10;THIELE;0;;;;;;PIETRYGA;;;30;2;36;6;1;GER
39;Slot Right;Slot;Left;Dagger;3;10;10;Complete;1;SAIL;PIETRYGA;9;THIELE;1;;;;;;PIETRYGA;;;40;2;37;6;1;GER
40;Slot Left;BUNCH;LEFT;SUN;4;1;1;Complete, TD;1;CORE;TREIBER;1;THIELE;0;;;;;;TREIBER;;;49;2;38;6;1;GER
41;BUNCH LEFT;Slot;Right;Dagger;0;10;10;Incomplete;1;DIG;;0;THIELE;;;;;;;SPIES;;;40;2;39;6;1;GER
42;;;;;1;20;-5;;;;;10;;;;;;;;;;;5;2;40;7;1;OPP
43;;;;;2;10;-15;;;;;9;;;;;;;;;;;15;2;41;7;1;OPP
44;;;;;3;1;-24;;;;;-5;;;;;;;;;;;24;2;42;7;1;OPP
45;;;;;4;6;-19;Incomplete;;;;0;;;;;;;;;;;19;2;43;7;1;OPP
46;Slot Right;Slot;Right;Slot Dig;1;20;-5;Incomplete;1;HITCH;;0;THIELE;;;;;;;RIESS;;;5;2;44;8;1;GER
47;Slot Right;Slot;Right;Sail;2;20;-5;Complete;1;SHALLOW;RIESS;5;THIELE;3;;;;;;RIESS;;;5;2;45;8;1;GER
48;Slot Right;Slot;Right;Snake JET;3;15;-10;Rush;1;;SCHWARZ;6;;;;;;;;SCHWARZ;;;10;2;46;8;1;GER
49;Slot Right;Slot;Left;Rolex Curls;4;9;-16;Complete;1;DIP;SPIES;12;THIELE;4;;;;;;SPIES;;;16;2;47;8;1;GER
50;Slot Left;Slot;Right;Dagger;1;22;22;Complete, TD;1;FADE;RIESS;22;THIELE;0;;;;;;RIESS;;;28;2;48;8;1;GER
51;Slot Right;Slot;Right;Rolex Curls;0;10;10;Good;1;DIP;SPIES;10;STEVENS;0;;;;;;SPIES;;;40;2;49;8;1;GER
52;;;;;1;20;-5;;1;;;9;;;;;;;;;;;5;2;50;9;2;OPP
53;;;;;2;11;-14;;1;;;25;;;;;;;;;;;14;2;51;9;2;OPP
54;;;;;1;10;11;;1;;;3;;;;;;;;;;;39;2;52;9;2;OPP
55;;;;;2;7;8;;1;;;0;;;;;;;;;;;42;2;53;9;2;OPP
56;;;;;3;7;8;Complete, TD;1;;;8;;;;;;;;;;;42;2;54;9;2;OPP
57;;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;2;55;9;2;OPP
58;Slot Right;Slot;Right;Snake Sail;1;20;-5;Complete;1;SHALLOW;DE GAVARELLI;6;THIELE;5;;;;;;DE GAVARELLI;;;5;2;56;10;2;GER
59;Slot Right;Slot;Right;Snake Rolex;2;14;-11;Complete;1;POST;RIESS;27;THIELE;2;;;;;;RIESS;;;11;2;57;10;2;GER
60;Slot Right;Slot;Right;Snake Rolex;1;12;12;Rush;1;;THIELE;4;THIELE;;;;;;;;;;38;2;58;10;2;GER
61;Slot Right;Slot;Right;Rolex Curls;2;8;8;Rush, TD;1;;STEVENS;8;STEVENS;;;;;;;;;;42;2;59;10;2;GER
62;Slot Right;Slot;Left;Rolex Poco;0;10;10;Interception;1;;;;STEVENS;;;;;;;;;;40;2;60;10;2;GER
63;;;;;1;20;-5;;1;;;13;;;;;;;;;;;5;2;61;11;2;OPP
64;;;;;2;7;-18;;1;;;8;;;;;;;;;;;18;2;62;11;2;OPP
65;;;;;1;24;24;;1;;;4;;;;;;;;;;;26;2;63;11;2;OPP
66;;;;;2;20;20;Complete, TD;1;;;20;;;;;;;;;;;30;2;64;11;2;OPP
67;;;;;0;5;5;Good;1;;;;;;;;;;;;;;45;2;65;11;2;OPP
68;Slot Left;Slot;Right;Sail;1;20;-5;Complete;1;SHALLOW;DE GAVARELLI;8;THIELE;5;;;;;;DE GAVARELLI;;;5;2;66;12;2;GER
69;Slot Right;Slot;Right;Snake Rolex;2;12;-13;Rush;1;;THIELE;4;THIELE;;;;;;;;;;13;2;67;12;2;GER
70;Slot Right;Slot;Left;Rolex Curls;3;8;-17;Incomplete;1;DIP;;0;THIELE;;;;;;;DE GAVARELLI;;;17;2;68;12;2;GER
71;Slot Left;Slot;Right;Snake Rolex;4;8;-17;Complete, TD;1;POST;RIESS;33;STEVENS;8;;;;;;RIESS;;;17;2;69;12;2;GER
72;Slot Right;Slot;Left;Snake Rolex;0;10;10;Incomplete;1;SAIL;;0;THIELE;;;;;;;PIETRYGA;;;40;2;70;12;2;GER
73;;;;;1;20;-5;;1;;;9;;;;;;;;;;;5;2;71;13;2;OPP
74;;;;;2;11;-14;;1;;;6;;;;;;;;;;;14;2;72;13;2;OPP
75;;;;;3;5;-20;Incomplete;1;;;0;;;;;;;;;;;20;2;73;13;2;OPP
76;;;;;4;5;-20;;1;;;17;;;;;;;;;;;20;2;74;13;2;OPP
77;;;;;1;13;13;;1;;;4;;;;;;;;;;;37;2;75;13;2;OPP
78;;;;;2;9;9;;1;;;8;;;;;;;;;;;41;2;76;13;2;OPP
79;;;;;3;1;1;Complete, TD;1;;;1;;;;;;;;;;;49;2;77;13;2;OPP
80;;;;;0;5;5;No Good;1;;;;;;;;;;;;;;45;2;78;13;2;OPP
81;Slot Left;Slot;Right;STICK;1;20;-5;Incomplete;0;HITCH;;0;THIELE;;;;;;;PIETRYGA;;;5;2;79;14;2;GER
82;Slot Right;;;;2;20;-5;Penalty;;;;10;;;;;;;;;;;5;2;80;14;2;GER
